symbol_or_expression,occurrences,source_notes
anb.o/t/p,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb2 != null,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb2.f,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
anb2.h,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
angle - 2048,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ANGULAR_FORCE_DOWNSHIFT = 4,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
ANGULAR_VELOCITY_SUSTAIN = 234,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
ANGULAR_VELOCITY_SUSTAIN_MAX = 256,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
aqa,8,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
aqa.a,1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
aqa.java,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ar,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
ar.a,3,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
ar.java,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
AssemblyAngularVelocity,1,10_ROBLOX_LUAU_REFERENCE.md
AssemblyLinearVelocity,2,10_ROBLOX_LUAU_REFERENCE.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
b,2,01_GAME_STRUCTURE_INVENTORY.md; DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md
b8134487a41158f67cfd3132548c3cee1058eb0e,1,22_MISSION_FRAMEWORK_MIGRATION.md
BallisticsEngine.luau,2,01_GAME_STRUCTURE_INVENTORY.md
BASE_MAX_HEALTH,1,02_BASELINE_GAMEPLAY_LOOP.md
BASE_WALKSPEED,1,02_BASELINE_GAMEPLAY_LOOP.md
BasePart,1,10_ROBLOX_LUAU_REFERENCE.md
BasePart:ApplyImpulse,1,10_ROBLOX_LUAU_REFERENCE.md
BLOCKED,2,00_SOURCE_INDEX.md; 04_DIRECTIVES_AND_CHANGELOG.md
BodyRecomputeService,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
BYTECODE_OPCODE_FREQUENCY.tsv,1,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md
c,1,01_GAME_STRUCTURE_INVENTORY.md
c = 4,1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
c826ed0b83c659f24fad288c65645fe9c1d9de1a,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
CapacitorSystem.luau,2,01_GAME_STRUCTURE_INVENTORY.md
CFrame:PointToWorldSpace,1,10_ROBLOX_LUAU_REFERENCE.md
CLASS_INDEX.tsv,4,01_GAME_STRUCTURE_INVENTORY.md; ORIGINAL_JAR/PREPROCESSING_01_06/DECOMPILED_SOURCE_HANDOFF.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md
classes.txt,2,ORIGINAL_JAR/PREPROCESSING_01_06/README.md; ORIGINAL_JAR/PREPROCESSING_01_06/STEP_01_06_MANIFEST.md
classfiles.tar.gz,3,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md; ORIGINAL_JAR/PREPROCESSING_01_06/STEP_01_06_MANIFEST.md
clb,2,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
clb.a,2,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
clb.java,4,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
CLOSED-IMPLEMENTATION,2,00_SOURCE_INDEX.md; FORENSIC_README.md
CODE_VERIFIED,2,00_SOURCE_INDEX.md; 33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
CombatFeed,1,03_NETWORK_RPC_MANIFEST.md
CombatTypes.luau,2,01_GAME_STRUCTURE_INVENTORY.md
Complete,1,04_DIRECTIVES_AND_CHANGELOG.md
component_56_slots.csv,10,00_DEFINITIVE_ORIGINAL_JAR.md; DEFINITIVE_VALUES/JAR_CENSUS.md; DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md; DEFINITIVE_VALUES/RAW_CENSUS_PROVENANCE.md; DEFINITIVE_VALUES/README.md
COMPONENT_BREAKING_EXPLOSION_FORCE_MULTIPLIER = 32768,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
ComponentAuthority,8,04_DIRECTIVES_AND_CHANGELOG.md; 10_ROBLOX_LUAU_REFERENCE.md; 22_MISSION_FRAMEWORK_MIGRATION.md
ComponentAuthority.ApplyDamage,1,10_ROBLOX_LUAU_REFERENCE.md
ComponentAuthority.Bind,1,10_ROBLOX_LUAU_REFERENCE.md
ComponentAuthority.Get,3,10_ROBLOX_LUAU_REFERENCE.md; 22_MISSION_FRAMEWORK_MIGRATION.md
ComponentAuthority.Health,2,10_ROBLOX_LUAU_REFERENCE.md
ComponentAuthority.MarkDestroyed,1,10_ROBLOX_LUAU_REFERENCE.md
ComponentAuthority.MaxHealth,2,10_ROBLOX_LUAU_REFERENCE.md
ComponentAuthority.Repair,1,10_ROBLOX_LUAU_REFERENCE.md
ComponentDefinitionValidator.luau,1,26_COMPONENT_DEFINITION_VALIDATION.md
ComponentDefinitionValidator.ValidateAll,1,26_COMPONENT_DEFINITION_VALIDATION.md
ComponentDefinitionValidator.ValidateAll(),1,26_COMPONENT_DEFINITION_VALIDATION.md
Components.Connections,6,10_ROBLOX_LUAU_REFERENCE.md; 26_COMPONENT_DEFINITION_VALIDATION.md; 31_COMPONENT_56_SLOT_RECONCILIATION.md
Components.Types,2,31_COMPONENT_56_SLOT_RECONCILIATION.md
ComponentType,3,10_ROBLOX_LUAU_REFERENCE.md; 29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 31_COMPONENT_56_SLOT_RECONCILIATION.md
config.json,6,00_DEFINITIVE_ORIGINAL_JAR.md; DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md
continue,1,10_ROBLOX_LUAU_REFERENCE.md
cqb,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
cqb.a,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
cqb.a(...),1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
CRIT_MULT,1,02_BASELINE_GAMEPLAY_LOOP.md
d,1,01_GAME_STRUCTURE_INVENTORY.md
d/e,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
d[],1,01_GAME_STRUCTURE_INVENTORY.md
DA(...),1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
debris.o,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
debris.o = parent.o,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
debris.p,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
debris.p = parent.p,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
debris.t,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
debris.t = parent.t,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
DEBRIS_CARRY_OVER,1,01_GAME_STRUCTURE_INVENTORY.md
DEBRIS_COLLISION_DAMAGE,1,01_GAME_STRUCTURE_INVENTORY.md
DEBRIS_DETACHMENT_FORCE_MULTIPLIER,1,01_GAME_STRUCTURE_INVENTORY.md
DEBRIS_DETACHMENT_FORCE_MULTIPLIER = 256,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
DECOMPILED_SOURCE/,1,ORIGINAL_JAR/PREPROCESSING_01_06/DECOMPILER_HANDOFF.md
DECOMPILER_METADATA.md,1,ORIGINAL_JAR/PREPROCESSING_01_06/DECOMPILED_SOURCE_HANDOFF.md
DEFINITIVE_VALUES/,2,00_SOURCE_INDEX.md; FORENSIC_README.md
DEFINITIVE_VALUES/component_56_slots.csv,1,00_DEFINITIVE_ORIGINAL_JAR.md
DEFINITIVE_VALUES/native_configuration_values.csv,1,00_DEFINITIVE_ORIGINAL_JAR.md
DEFINITIVE_VALUES/README.md,1,00_DEFINITIVE_ORIGINAL_JAR.md
